,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
CS 4780,De Sa,A-,SP17,180,,
CS 4780,Joachims,A-,FA21,177,,
CS 4787,De Sa,A-,FA22,48,,
CS 4789,Dean,A-,SP22,19,,
CS 4810,Kozen,A-,SP22,38,"Neat class, Kozen is awesome",
CS 4812,Ginsparg,A-,FA21,24,,
CS 4820,Shi,A-,FA21,164,,
DSOC 2090,McMichael,A-,FA20,57,,
DSOC 2090,Makki,A-,FA21,42,,
DSOC 2710,Maralani,A-,SP22,159,,
DSOC 4940,Sipple,A-,FA18,64,,
EAS 1540,Wysocki,A-,FA21,12,Rubric usually TA-designed,
EAS 1540/60,Monger,A-,FA19,887,,
EAS 3050,Lehner,A-,FA21,14,,
ECE 2100,Afridi,A-,SP22,53,crosslisted with ENGRD 2100,
ECE 2200,Shealy,A-,FA21,72,"crosslisted with ENGRD 2100, Professor Shealy's last semester teaching",
ECE 2300,Tong,A-,FA20,42,,
ECE 2300,Albonesi,A-,SP22,154,crosslisted with ENGRD 2300,
ECE 2300,Albonesi,A-,SP22,98,crosslisted with ENGRD 2300,
ECE 2720,Batten,A-,FA21,53,crosslisted with ENGRD 2140,
ECE 3100,Monticone,A-,FA20,43,,
ENGRI 1165,Cowen,A,SP23,58,,
ECE 3140,Napp,A-,SP22,168,"crosslisted with CS 3420, no exams",
ECE 3150,Napp,A-,SP21,181,"crosslisted with CS 3420, no exams",
ECE 4450,Sabuncu,A-,SP21,45,,
ECE 4750,Wicker,A-,FA20,,,
ECON 1110,Batten,A-,FA22,74,,
ECON 1120,Sanders/Thomas,A-,FA20,889,,
ECON 1120,Basu,A-,SP23,283,,
ECON 1120,Alexander/?,B+,SP23,518,,
ECON 3030,Basu,A-,FA21,67,,
ECON 3030,McKee,A-,SP20,,,
ECON 3120,Diccicio,A-,FA22,123,,
ECON 3120,McKee,A-,FA16,162,cannot go wrong w/ him,
ECON 3130,McKee,A-,SP21,161,161,
ECON 3130,McKee,A-,FA23,137,goat,
ECON 3800,Kapustin,A-,FA22,32,,
ECON 3800,Hay,A-,SP20,52,yo fuck this professor,
ECON 3850,Basu,A-,FA18,,,
ECON 4660,O'Donoghue,A-,SP21,,,
,,,,,,
